metric,unit,value,period_start_kst,period_end_kst,note
운영 전체 요청,count,280,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,배포 검증 호출 제외
운영 전체 매칭률,percent,62.5,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,matched=true 비율
분석 사용자,count,76,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,사용자 ID 존재 기준
30분 세션,count,94,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,30분 비활동 시 신규 세션
FAQ 내 종료 추정률,percent,59.6,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,실제 해결률 또는 상담 억제율 아님
명시적 상담사 연결 관측,count,0,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,외부 상담 클릭 이벤트 미수집
과거 관측 매칭률,percent,62.6,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,운영 DB 관측값
과거 고유 미매칭 유형,count,87,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,정규화 질문 기준
현재 처리 가능 전환 유형,count,61,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,현재 매처 재실행 결과
고유 미매칭 유형 감소율,percent,70.1,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,재평가 추정
예상 처리 가능률,percent,86.6,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,동일 과거 데이터 재평가 추정
FAQ 자산,count,190,2026-06-30T10:30:00.000,2026-06-30T10:30:00.000,정적 기준일
등록 키워드,count,2042,2026-06-30T10:30:00.000,2026-06-30T10:30:00.000,정적 기준일
지원 브랜드,count,4,2026-06-30T10:30:00.000,2026-06-30T10:30:00.000,정적 기준일
