period_type,period_start_kst,period_end_kst,brand,total_requests,matched_requests,unmatched_requests,match_rate_pct,unique_users,sessions,faq_end_proxy_sessions,faq_end_proxy_rate_pct,explicit_handoff_observed_sessions,typo_corrected_requests,test_requests_excluded,metric_caveat
day,2026-05-20,2026-05-20,ALL,15,12,3,80,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-20,2026-05-20,laurastar,15,12,3,80,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-21,2026-05-21,ALL,26,21,5,80.8,3,5,4,80,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-21,2026-05-21,laurastar,26,21,5,80.8,3,5,4,80,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-22,2026-05-22,ALL,17,9,8,52.9,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-22,2026-05-22,laurastar,17,9,8,52.9,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-23,2026-05-23,ALL,6,2,4,33.3,3,3,2,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-23,2026-05-23,laurastar,6,2,4,33.3,3,3,2,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-24,2026-05-24,ALL,4,2,2,50,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-24,2026-05-24,laurastar,4,2,2,50,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-26,2026-05-26,ALL,7,3,4,42.9,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-26,2026-05-26,laurastar,6,3,3,50,2,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-26,2026-05-26,woods,1,0,1,0,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-27,2026-05-27,ALL,6,3,3,50,3,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-27,2026-05-27,woods,6,3,3,50,3,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-28,2026-05-28,ALL,18,10,8,55.6,6,6,4,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-28,2026-05-28,laurastar,5,2,3,40,3,3,2,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-28,2026-05-28,woods,13,8,5,61.5,4,3,2,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-29,2026-05-29,ALL,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-29,2026-05-29,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-30,2026-05-30,ALL,13,9,4,69.2,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-05-30,2026-05-30,laurastar,13,9,4,69.2,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-01,2026-06-01,ALL,3,2,1,66.7,3,3,2,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-01,2026-06-01,woods,2,1,1,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-01,2026-06-01,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-02,2026-06-02,ALL,68,49,19,72.1,10,13,9,69.2,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-02,2026-06-02,woods,46,38,8,82.6,5,5,4,80,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-02,2026-06-02,laurastar,22,11,11,50,7,8,5,62.5,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-03,2026-06-03,ALL,2,0,2,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-03,2026-06-03,woods,2,0,2,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-04,2026-06-04,ALL,5,2,3,40,3,3,1,33.3,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-04,2026-06-04,woods,2,0,2,0,2,2,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-04,2026-06-04,laurastar,3,2,1,66.7,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-07,2026-06-07,ALL,2,0,2,0,2,2,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-07,2026-06-07,laurastar,2,0,2,0,2,2,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-08,2026-06-08,ALL,3,2,1,66.7,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-08,2026-06-08,laurastar,3,2,1,66.7,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-09,2026-06-09,ALL,7,4,3,57.1,4,4,3,75,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-09,2026-06-09,laurastar,5,2,3,40,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-09,2026-06-09,woods,2,2,0,100,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-10,2026-06-10,ALL,4,3,1,75,3,3,2,66.7,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-10,2026-06-10,woods,2,2,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-10,2026-06-10,laurastar,2,1,1,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-11,2026-06-11,ALL,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-11,2026-06-11,woods,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-12,2026-06-12,ALL,3,3,0,100,3,3,3,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-12,2026-06-12,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-12,2026-06-12,woods,2,2,0,100,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-13,2026-06-13,ALL,6,3,3,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
