period_type,period_start_kst,period_end_kst,metric,value,unit
day,2026-05-20,2026-05-20,total_requests,15,count
day,2026-05-20,2026-05-20,matched_requests,12,count
day,2026-05-20,2026-05-20,unmatched_requests,3,count
day,2026-05-20,2026-05-20,match_rate_pct,80,percent
day,2026-05-20,2026-05-20,faq_end_proxy_rate_pct,100,percent
day,2026-05-21,2026-05-21,total_requests,26,count
day,2026-05-21,2026-05-21,matched_requests,21,count
day,2026-05-21,2026-05-21,unmatched_requests,5,count
day,2026-05-21,2026-05-21,match_rate_pct,80.8,percent
day,2026-05-21,2026-05-21,faq_end_proxy_rate_pct,80,percent
day,2026-05-22,2026-05-22,total_requests,17,count
day,2026-05-22,2026-05-22,matched_requests,9,count
day,2026-05-22,2026-05-22,unmatched_requests,8,count
day,2026-05-22,2026-05-22,match_rate_pct,52.9,percent
day,2026-05-22,2026-05-22,faq_end_proxy_rate_pct,100,percent
day,2026-05-23,2026-05-23,total_requests,6,count
day,2026-05-23,2026-05-23,matched_requests,2,count
day,2026-05-23,2026-05-23,unmatched_requests,4,count
day,2026-05-23,2026-05-23,match_rate_pct,33.3,percent
day,2026-05-23,2026-05-23,faq_end_proxy_rate_pct,66.7,percent
day,2026-05-24,2026-05-24,total_requests,4,count
day,2026-05-24,2026-05-24,matched_requests,2,count
day,2026-05-24,2026-05-24,unmatched_requests,2,count
day,2026-05-24,2026-05-24,match_rate_pct,50,percent
day,2026-05-24,2026-05-24,faq_end_proxy_rate_pct,100,percent
day,2026-05-26,2026-05-26,total_requests,7,count
day,2026-05-26,2026-05-26,matched_requests,3,count
day,2026-05-26,2026-05-26,unmatched_requests,4,count
day,2026-05-26,2026-05-26,match_rate_pct,42.9,percent
day,2026-05-26,2026-05-26,faq_end_proxy_rate_pct,50,percent
day,2026-05-27,2026-05-27,total_requests,6,count
day,2026-05-27,2026-05-27,matched_requests,3,count
day,2026-05-27,2026-05-27,unmatched_requests,3,count
day,2026-05-27,2026-05-27,match_rate_pct,50,percent
day,2026-05-27,2026-05-27,faq_end_proxy_rate_pct,33.3,percent
day,2026-05-28,2026-05-28,total_requests,18,count
day,2026-05-28,2026-05-28,matched_requests,10,count
day,2026-05-28,2026-05-28,unmatched_requests,8,count
day,2026-05-28,2026-05-28,match_rate_pct,55.6,percent
day,2026-05-28,2026-05-28,faq_end_proxy_rate_pct,66.7,percent
day,2026-05-29,2026-05-29,total_requests,1,count
day,2026-05-29,2026-05-29,matched_requests,1,count
day,2026-05-29,2026-05-29,unmatched_requests,0,count
day,2026-05-29,2026-05-29,match_rate_pct,100,percent
