brand,data_type,scenario,scenario_label,month,period_start_kst,period_end_kst,period_completeness,observed_or_forecast_days,total_requests,avg_daily_requests,matched_requests,unmatched_requests,match_rate_pct,request_change_vs_previous,avg_daily_request_change_pct_vs_previous,match_rate_change_pp_vs_previous,source_period_start_kst,source_period_end_kst,assumption,confidence_note
laurastar,observed,actual,관측,2026-05,2026-05-20,2026-05-31,partial_start_month,12,93,7.75,61,32,65.6,,,,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 부분월 비교
laurastar,observed,actual,관측,2026-06,2026-06-01,2026-06-30,partial_through_extract_time,30,76,2.53,36,40,47.4,-17,-67.3,-18.2,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 부분월 비교
laurastar,scenario,conservative,보수,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,127,4.1,97,30,76.7,,62.1,29.3,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,conservative,보수,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,127,4.1,97,30,76.7,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,conservative,보수,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,123,4.1,94,29,76.7,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,base,기준,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,127,4.1,108,19,84.8,,62.1,37.4,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,base,기준,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,127,4.1,108,19,84.8,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,base,기준,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,123,4.1,104,19,84.8,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,target,목표,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,127,4.1,114,13,90,,62.1,42.6,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,target,목표,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,127,4.1,114,13,90,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
laurastar,scenario,target,목표,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,123,4.1,111,12,90,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,observed,actual,관측,2026-05,2026-05-20,2026-05-31,partial_start_month,12,20,1.67,11,9,55,,,,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 부분월 비교
woods,observed,actual,관측,2026-06,2026-06-01,2026-06-30,partial_through_extract_time,30,63,2.1,46,17,73,43,26,18,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 부분월 비교
woods,scenario,conservative,보수,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,64,2.06,53,11,82.2,,-1.9,9.2,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,conservative,보수,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,64,2.06,53,11,82.2,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,conservative,보수,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,62,2.07,51,11,82.2,,0.5,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,base,기준,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,64,2.06,56,8,88,,-1.9,15,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,base,기준,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,64,2.06,56,8,88,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,base,기준,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,62,2.07,55,7,88,,0.5,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,target,목표,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,64,2.06,58,6,90,,-1.9,17,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,target,목표,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,64,2.06,58,6,90,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
woods,scenario,target,목표,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,62,2.07,56,6,90,,0.5,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,observed,actual,관측,2026-05,2026-05-20,2026-05-31,partial_start_month,12,0,0,0,0,0,,,,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 부분월 비교
aarke,observed,actual,관측,2026-06,2026-06-01,2026-06-30,partial_through_extract_time,30,26,0.87,19,7,73.1,26,,73.1,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 부분월 비교
aarke,scenario,conservative,보수,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,12,0.39,11,1,94,,-55.2,20.9,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,scenario,conservative,보수,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,12,0.39,11,1,94,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,scenario,conservative,보수,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,11,0.37,10,1,94,,-5.1,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 재평가 개선 폭의 70% 실현,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,scenario,base,기준,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,12,0.39,12,0,100,,-55.2,26.9,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,scenario,base,기준,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,12,0.39,12,0,100,,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,scenario,base,기준,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,11,0.37,11,0,100,,-5.1,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,브랜드 과거 미매칭 재평가 결과 유지,통계 예측이 아닌 브랜드별 시나리오 계획값
aarke,scenario,target,목표,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,12,0.39,12,0,100,,-55.2,26.9,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강 후 목표치,통계 예측이 아닌 브랜드별 시나리오 계획값
